title,price,rating,reviews,delivery_days,work_type,extraction_date
Oli Swinburne,150.0,4.9,54.0,,logo_design,2025-09-01 11:19:18
Lazar Keleman,35.0,4.9,274.0,,logo_design,2025-09-01 11:19:18
Haleema Amir,50.0,5.0,70.0,,logo_design,2025-09-01 11:19:18
Abdullah Ch,75.0,4.8,973.0,,logo_design,2025-09-01 11:19:18
Oli Swinburne,25.0,5.0,6.0,,logo_design,2025-09-01 11:19:18
I will create modern minimalist stunning business logo design,25.0,4.9,717.0,,logo_design,2025-09-01 11:19:18
Danial Khalid,20.0,4.9,602.0,,logo_design,2025-09-01 11:19:18
Xymbolic D.,55.0,4.9,264.0,,logo_design,2025-09-01 11:19:18
Lazar Keleman,60.0,5.0,55.0,,logo_design,2025-09-01 11:19:18
Aflah Design,50.0,4.9,138.0,,logo_design,2025-09-01 11:19:18
I will do modern minimalist and luxury business logo design,40.0,5.0,184.0,,logo_design,2025-09-01 11:19:18
Oli Swinburne,40.0,5.0,27.0,,logo_design,2025-09-01 11:19:18
Oli Swinburne,45.0,4.8,78.0,,logo_design,2025-09-01 11:19:18
Sharmin Akter,20.0,4.8,56.0,,logo_design,2025-09-01 11:19:18
I will do modern minimalist unique business logo design,15.0,4.8,45.0,,logo_design,2025-09-01 11:19:18
Daniel Suarez,20.0,5.0,135.0,,logo_design,2025-09-01 11:19:18
Ashraful Khan,40.0,4.9,56.0,,logo_design,2025-09-01 11:19:18
,20.0,4.9,61.0,,logo_design,2025-09-01 11:19:18
,25.0,4.9,164.0,,logo_design,2025-09-01 11:19:18
,25.0,4.9,471.0,,logo_design,2025-09-01 11:19:18
,45.0,4.9,394.0,,logo_design,2025-09-01 11:19:18
,35.0,4.8,40.0,,logo_design,2025-09-01 11:19:18
,50.0,4.7,312.0,,logo_design,2025-09-01 11:19:18
,30.0,5.0,48.0,,logo_design,2025-09-01 11:19:18
,40.0,4.8,280.0,,logo_design,2025-09-01 11:19:18
,15.0,4.9,272.0,,logo_design,2025-09-01 11:19:18
,20.0,4.8,145.0,,logo_design,2025-09-01 11:19:18
,10.0,4.9,49.0,,logo_design,2025-09-01 11:19:18
,20.0,4.7,49.0,,logo_design,2025-09-01 11:19:18
,30.0,5.0,993.0,,logo_design,2025-09-01 11:19:18
,5.0,4.9,280.0,,logo_design,2025-09-01 11:19:18
,20.0,5.0,107.0,,logo_design,2025-09-01 11:19:18
,50.0,4.9,41.0,,logo_design,2025-09-01 11:19:18
,20.0,4.8,330.0,,logo_design,2025-09-01 11:19:18
,50.0,4.8,404.0,,logo_design,2025-09-01 11:19:18
,40.0,4.9,33.0,,logo_design,2025-09-01 11:19:18
,30.0,5.0,50.0,,logo_design,2025-09-01 11:19:18
,45.0,4.7,54.0,,logo_design,2025-09-01 11:19:18
,10.0,4.9,274.0,,logo_design,2025-09-01 11:19:18
,20.0,4.7,70.0,,logo_design,2025-09-01 11:19:18
,55.0,4.8,973.0,,logo_design,2025-09-01 11:19:18
,20.0,4.6,6.0,,logo_design,2025-09-01 11:19:18
,25.0,5.0,717.0,,logo_design,2025-09-01 11:19:18
,25.0,4.8,602.0,,logo_design,2025-09-01 11:19:18
